Name,salesRep
"Opp-B/ECONIS AG 'SAENTIS BANKEN'-2013 Q3-2","Tobias Stocker,R. Fricker"
"Opp-B/LGT FINANCIAL SERVICES-2013 Q3-1","Tobias Stocker,R. Fricker"
"Opp-B-SOURCE SA-2013 Q2-1","Tobias Stocker,R. Fricker"
"Opp-MARKANT FINANZ AG-2013 Q2-1","Tobias Stocker,R. Fricker"
"Opp-B/BS/KANTONALBANK-2013 Q3-1","Tobias Stocker,R. Fricker"
"Opp-B-SOURCE SA-2013 Q3-4","Tobias Stocker,R. Fricker"
"Opp-V/RAIFFEISEN SCHWEIZ-2013 Q4-1","Tobias Stocker,R. Fricker"
"Opp-MUNDIPHARMA IT SERVICES GMBH-2013 Q3-1","Tobias Stocker,R. Fricker"
"Opp-B/ZKB-2013 Q2-4","Tobias Stocker,R. Fricker"
"Opp-B/ZKB-2013 Q2-2","Tobias Stocker,R. Fricker"
"Opp-B/ZKB-2013 Q2-1","Tobias Stocker,R. Fricker"
"Opp-ALSTOM (SCHWEIZ) AG-2013 Q3-2","Tobias Stocker,R. Fricker"
"Opp-B/DZ PRIVATBANK (SCHWEIZ) AG-2013 Q3-1","Tobias Stocker,R. Fricker"
"Opp-PLANZER TRANSPORT AG-2013 Q3-1","Tobias Stocker,R. Fricker"
"Opp-IBM ITD HW/SW C-POOL    524040-2013 Q3-2","Pat Siegenthaler,R. Fricker"
